Task_ID,Group_Type,Subject_Count,Avg_Eye_Movement_Coefficient,Avg_MMSE_Score,Correlation_Coefficient,Standard_Deviation
Q1,control,20,0.6557611311200503,4.7,-0.0756645886850332,0.08881634332859348
Q2,control,20,0.6211626707321068,4.75,-0.05722449576191683,0.05653509997994769
Q3,control,20,0.5955123214432574,2.95,0.5423373132405548,0.04155628608500987
Q4,control,20,0.7334210009336682,4.1,-0.4072423294002102,0.08412256957311597
Q5,control,20,0.5608685842266434,2.55,-0.11196297370718239,0.07892172369724555
Q1,mci,20,0.5339122247654681,4,0.32697116427519934,0.11246308352917976
Q2,mci,20,0.5037827401742241,4.5,-0.3689694052765111,0.08657731732996976
Q3,mci,20,0.5462279762174224,2.95,0.35319754510603,0.07294872177907846
Q4,mci,20,0.44346758649509666,3.15,-0.11040306270751393,0.10239751328318013
Q5,mci,20,0.5039438329386673,1.8,0.28172324738421706,0.07231145566338042
Q1,ad,20,0.40165217470156483,2.2,-0.07873276168667089,0.0783881138903647
Q2,ad,20,0.43190320094303425,3.85,-0.31867209316251205,0.08134790697682696
Q3,ad,20,0.45083128709725157,2.55,-0.028128224569653144,0.07754078968398824
Q4,ad,20,0.34109359110643256,1.6,-0.3478643777237784,0.06451494322348507
Q5,ad,20,0.41048825084246277,0.5,0.09623241240792157,0.06322338994527205
