Task_ID,Group_Type,Subject_Count,Avg_Eye_Movement_Coefficient,Avg_MMSE_Score,Correlation_Coefficient,Standard_Deviation
Q1,control,20,0.6624876136558554,4.7,-0.08901391885014612,0.08019849981276529
Q2,control,20,0.6253598295068381,4.75,-0.16523200215449466,0.05646834297003432
Q3,control,20,0.6071356967526651,2.95,0.43865068171683774,0.04339984107598086
Q4,control,20,0.6919777071616552,4.1,-0.36704893099160585,0.09847515499727699
Q5,control,20,0.591951760588442,2.55,-0.005652864978840209,0.06994761408614807
Q1,mci,20,0.5336204550437792,4,0.3247120236027249,0.1065389278237525
Q2,mci,20,0.5189572484800411,4.5,-0.2754248682544717,0.0818938328281417
Q3,mci,20,0.5699744850939609,2.95,0.3680863163431707,0.07243980127697225
Q4,mci,20,0.4170737857206861,3.15,-0.2763196645805106,0.07373093077473901
Q5,mci,20,0.5487533524083348,1.8,0.10742021405022338,0.06959495776755899
Q1,ad,20,0.41441882819206155,2.2,-0.03958937974672658,0.07277291677928208
Q2,ad,20,0.4478484290703283,3.85,-0.329262089916057,0.08780276101597854
Q3,ad,20,0.48736665046344785,2.55,-0.07598622830519995,0.06234419158029255
Q4,ad,20,0.36298664797137664,1.6,-0.4085325274681139,0.07127885360373673
Q5,ad,20,0.4555861990183995,0.5,-0.009060021398968625,0.05659561551236167
