Task_ID,Group_Type,Subject_Count,Avg_Eye_Movement_Coefficient,Avg_MMSE_Score,Correlation_Coefficient,Standard_Deviation
Q1,control,20,0.6611770719187591,4.7,-0.13790895930100666,0.08835649556961932
Q2,control,20,0.6276581667486778,4.75,-0.08497057227486622,0.06003192234551317
Q3,control,20,0.6003440425393112,2.95,0.5615000583832243,0.03764937845393663
Q4,control,20,0.7679044305448346,4.1,-0.4285089829496813,0.07797881593166922
Q5,control,20,0.5591698426467624,2.55,-0.2008881999662094,0.08239173885477047
Q1,mci,20,0.5536322715720885,4,0.3205228071195396,0.12760365760386208
Q2,mci,20,0.5068588225164306,4.5,-0.4259594904290619,0.07744437661578137
Q3,mci,20,0.5460838364655812,2.95,0.36527730281113685,0.07521607898423058
Q4,mci,20,0.4777424571840986,3.15,-0.08315935010231798,0.11462016658891257
Q5,mci,20,0.49338719576594003,1.8,0.1403551924306872,0.056910238207330585
Q1,ad,20,0.4135785683758514,2.2,-0.039242235013073286,0.07876509063866755
Q2,ad,20,0.43603476418514375,3.85,-0.2545309322619484,0.07728310477230584
Q3,ad,20,0.44782658196010655,2.55,-0.028415884901482093,0.08220293246858722
Q4,ad,20,0.34559045758192236,1.6,-0.30267867636506224,0.06092107318651506
Q5,ad,20,0.408187217106203,0.5,0.03249594238668641,0.07102191588043372
