Task_ID,Group_Type,Subject_Count,Avg_Eye_Movement_Coefficient,Avg_MMSE_Score,Correlation_Coefficient,Standard_Deviation
Q1,control,20,0.6556670168280663,4.7,-0.09243430342102409,0.09182334926093354
Q2,control,20,0.6210308558572254,4.75,-0.08986396857792425,0.05867245316440175
Q3,control,20,0.595960432702518,2.95,0.6221557681200512,0.043722514123525374
Q4,control,20,0.7428640084637699,4.1,-0.41012972337068704,0.08343626951608203
Q5,control,20,0.5552709391852071,2.55,-0.10579393261708783,0.08049269696450495
Q1,mci,20,0.5337255853349223,4,0.34218978345049933,0.12088476646731285
Q2,mci,20,0.49720156448734076,4.5,-0.3807996680764281,0.0886463072836195
Q3,mci,20,0.5445856885978102,2.95,0.38251708791497896,0.0708002845355573
Q4,mci,20,0.4476454705401208,3.15,-0.0960275728914872,0.10548637526133559
Q5,mci,20,0.4973067744086113,1.8,0.24713027050888667,0.06813166444179646
Q1,ad,20,0.3972754986031629,2.2,-0.055578292746271615,0.08115685197172103
Q2,ad,20,0.42667353567435784,3.85,-0.3122995081233336,0.08165211683053696
Q3,ad,20,0.4433683541861465,2.55,-0.044296537739272175,0.07980675324906265
Q4,ad,20,0.3346506569440164,1.6,-0.32879748806405396,0.06475274440970416
Q5,ad,20,0.40202208387535815,0.5,0.08099895648657217,0.0654429747085217
