Task_ID,Group_Type,Subject_Count,Avg_Eye_Movement_Coefficient,Avg_MMSE_Score,Correlation_Coefficient,Standard_Deviation
Q1,control,20,0.6556670168280663,4.7,-0.09243430342102409,0.09182334926093354
Q2,control,20,0.6210308558572254,4.75,-0.08986396857792425,0.05867245316440175
Q3,control,20,0.595960432702518,2.95,0.6221557681200512,0.043722514123525374
Q4,control,20,0.7428640084637699,4.1,-0.41012972337068704,0.08343626951608203
Q5,control,20,0.5552709391852071,2.55,-0.10579393261708783,0.08049269696450495
Q1,mci,20,0.5337255853349223,4,0.34218978345049933,0.12088476646731285
Q2,mci,20,0.49720156448734076,4.5,-0.3807996680764281,0.0886463072836195
Q3,mci,20,0.5445856885978102,2.95,0.38251708791497896,0.0708002845355573
Q4,mci,20,0.4476454705401208,3.15,-0.0960275728914872,0.10548637526133559
Q5,mci,20,0.4973067744086113,1.8,0.24713027050888667,0.06813166444179646
Q1,ad,18,0.3854560055049446,2.1666666666666665,-0.20057367365629347,0.07677137743904344
Q2,ad,18,0.4258981372171466,3.8333333333333335,0.2940906856606837,0.08575367186887252
Q3,ad,18,0.444915770793486,2.5555555555555554,0.01408851934581289,0.08377695160545576
Q4,ad,18,0.3303656528956342,1.6666666666666667,0.20399640479358874,0.06686956942400239
Q5,ad,18,0.404432481128284,0.5555555555555556,-0.42572916601470856,0.06791230431574578
